label,value
Spezifikation , Details
Reference size / functional unit:,1 BW4 CTM RL (Art: 131.406)
Stundenkapazitäten,180 Espresso / 120 Kaffee / 100 Cappuccino / 90 Tee
Bohnebehälter, 1 kg
RS Kühlschrank,4 Liter
Anschluss, 220-240 VAC - 50-60 Hz / 2700-3150 W - 12-13 A
"Masse, 220-240 VAC / 50-60 Hz
2700-3150 W / 12-13 A"
Gewicht, 56 kg (mit RS)
